id,isPartOf,name_isPartOf,isPartOf2,name_isPartOf2,EXPORT
orientalni_ustav,avcr,AV ČR,research,Věda a výzkum,"orientalni_ustav---Orientální ústav|||Pod vodárenskou věží 4 ,  182 08 Praha 8|||http://www.orient.cas.cz/|||http://www.orient.cas.cz/knihovna/"
parazitologicky_ustav,avcr,AV ČR,research,Věda a výzkum,"parazitologicky_ustav---Parazitologický ústav|||Branišovská 1160/31, České Budějovice|||http://www.paru.cas.cz/cs/|||"
psychologicky_ustav,avcr,AV ČR,research,Věda a výzkum,"psychologicky_ustav---Psychologický ústav|||Veveří 97 ,  602 00 Brno|||http://www.psu.cas.cz/|||http://www.psu.cas.cz/library/"
slovansky_ustav,avcr,AV ČR,research,Věda a výzkum,"slovansky_ustav---Slovanský ústav AV ČR, v. v. i.|||Valentinská 1, 110 00 Praha 1|||http://www.slu.cas.cz/|||http://www.slu.cas.cz/2.html#k"
sociologicky_ustav,avcr,AV ČR,research,Věda a výzkum,"sociologicky_ustav---Sociologický ústav|||Jilská 1, 110 00 Praha 1|||http://www.soc.cas.cz/|||http://www.soc.cas.cz/knihovna/sluzby-kontakty"
technologicke_centrum,avcr,AV ČR,research,Věda a výzkum,"technologicke_centrum---Technologické centrum|||Ve Struhách 27, 160 00 Praha 6 – Bubeneč|||http://www.tc.cz/|||"
ustav_analyticke_chemie,avcr,AV ČR,research,Věda a výzkum,"ustav_analyticke_chemie---Ústav analytické chemie|||Veveří 97, 602 00 Brno|||http://www.iach.cz/|||http://www.iach.cz/uiach/cz/knihovna.htm"
ustav_anorganicke_chemie,avcr,AV ČR,research,Věda a výzkum,"ustav_anorganicke_chemie---Ústav anorganické chemie|||Husinec-Řež č.p. 1001, 250 68 Řež|||http://www.iic.cas.cz/|||http://www.iic.cas.cz/cz/pro_verejnost_knihovna"
ustav_biologie_obratlovcu,avcr,AV ČR,research,Věda a výzkum,"ustav_biologie_obratlovcu---Ústav biologie obratlovců|||Květná 8, 603 65 Brno|||http://www.ivb.cz|||https://www.ivb.cz/ustav/knihovna/"
ustav_dejin_umeni,avcr,AV ČR,research,Věda a výzkum,"ustav_dejin_umeni---Ústav dějin umění|||Husova 4, 110 00 Praha 1|||http://www.udu.cas.cz/|||http://www.udu.cas.cz/cs/knihovna/"
ustav_experimentalni_botaniky,avcr,AV ČR,research,Věda a výzkum,"ustav_experimentalni_botaniky---Ústav experimentální botaniky|||Rozvojová 263, 165 02 Praha 6-Lysolaje|||http://www.ueb.cas.cz/|||http://www.ueb.cas.cz/cs/content/it-knihovna-svi"
ustav_experimentalni_mediciny,avcr,AV ČR,research,Věda a výzkum,"ustav_experimentalni_mediciny---Ústav experimentální medicíny|||Vídeňská 1083, 142 20 Praha 4|||http://www.iem.cas.cz/|||"
ustav_fotoniky_a_elektroniky,avcr,AV ČR,research,Věda a výzkum,"ustav_fotoniky_a_elektroniky---Ústav fotoniky a elektroniky|||Chaberská 57, 182 51 Praha 8|||http://www.ufe.cz/|||http://www.ufe.cz/cs/knihovna"
ustav_fyzikalni_chemie_j_heyrovskeho,avcr,AV ČR,research,Věda a výzkum,"ustav_fyzikalni_chemie_j_heyrovskeho---Ústav fyzikální chemie J. Heyrovského|||Dolejškova 3 ,  182 23 Praha 8|||http://www.jh-inst.cas.cz/|||http://www.jh-inst.cas.cz/www/detail.php?p=88"
ustav_fyziky_atmosfery,avcr,AV ČR,research,Věda a výzkum,"ustav_fyziky_atmosfery---Ústav fyziky atmosféry|||Boční II/1401, 141 31 Praha 4|||http://www.ufa.cas.cz/|||http://www.ufa.cas.cz/knihovna/o-knihovne.html"
ustav_fyziky_materialu,avcr,AV ČR,research,Věda a výzkum,"ustav_fyziky_materialu---Ústav fyziky materiálů|||Žižkova 22, 616 62 Brno|||http://www.ipm.cz/|||"
ustav_fyziky_plazmatu,avcr,AV ČR,research,Věda a výzkum,"ustav_fyziky_plazmatu---Ústav fyziky plazmatu|||Za Slovankou 3, 182 00 Praha 8|||http://www.ipp.cas.cz/|||"
ustav_geoniky,avcr,AV ČR,research,Věda a výzkum,"ustav_geoniky---Ústav geoniky|||Studentská 1768 ,  708 00 Ostrava - Poruba|||http://www.ugn.cas.cz/|||"
ustav_chemickych_procesu,avcr,AV ČR,research,Věda a výzkum,"ustav_chemickych_procesu---Ústav chemických procesů|||Rozvojová 135, 165 02 Praha 6|||http://www.icpf.cas.cz/|||http://www.icpf.cas.cz/cs/knihovna"
ustav_informatiky,avcr,AV ČR,research,Věda a výzkum,"ustav_informatiky---Ústav informatiky|||Pod vodárenskou věží 2, 182 07 Praha 8|||http://www.cs.cas.cz/|||http://www.ustavinformatiky.cz/?id_jazyk=cs&id_stranky=knihovna"
ustav_jaderne_fyziky,avcr,AV ČR,research,Věda a výzkum,"ustav_jaderne_fyziky---Ústav jaderné fyziky|||Husinec - Řež 130, 250 68 Řež|||http://www.ujf.cas.cz/|||http://www.ujf.cas.cz/cs/intranet/knihovna/"
ustav_makromolekularni_chemie,avcr,AV ČR,research,Věda a výzkum,"ustav_makromolekularni_chemie---Ústav makromolekulární chemie|||Heyrovského nám. 2, 162 06 Praha 6|||http://www.imc.cas.cz/|||http://www.imc.cas.cz/cz/umch/knihovna_umch.htm"
ustav_molekularni_biologie_rostlin,avcr,AV ČR,research,Věda a výzkum,"ustav_molekularni_biologie_rostlin---Ústav molekulární biologie rostlin|||Branišovská 1160/31, České Budějovice|||http://www.bc.cas.cz/|||"
ustav_molekularni_genetiky,avcr,AV ČR,research,Věda a výzkum,"ustav_molekularni_genetiky---Ústav molekulární genetiky|||Vídeňská 1083,  142 20 Praha 4|||http://www.img.cas.cz/|||"
